Country,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS, thinness 5-9 years,Income composition of resources,Schooling,Population,GDP
Swaziland,Developing,58.4,382,2,0.01,574.3895102,98,0,31.8,3,98,9.25,98,7.3,4.3,0.541,11.4,1095000,44230000000
Turkey,Developing,75.5,17,16,1.45,181.9083783,96,565,65.3,19,96,5.41,96,0.1,4.7,0.759,14.5,77229262,9.39E+11
Antigua and Barbuda,Developing,76.2,131,0,8.56,2422.999774,99,0,47,0,96,5.54,99,0.2,3.3,0.782,13.9,92562,1249733333
Bahamas,Developing,75.4,16,0,9.45,0,96,0,63.8,0,96,7.74,96,0.1,2.5,0.789,12.6,370625,11180000000
Bahrain,Developing,76.8,7,0,1.57,367.2556742,98,46,62.9,0,98,4.98,98,0.1,6,0.82,14.5,1336073,33387712766
Barbados,Developing,75.4,1,0,8.82,294.9056584,94,0,53.7,0,95,7.47,94,0.1,3.7,0.793,15.3,284825,4696344342
Bolivia (Plurinational State of),Developing,74,189,8,3.62,0,98,0,51.9,10,99,6.33,98,0.1,1.1,0.666,13.8,10710000,33000000000
Brunei Darussalam,Developing,77.6,8,0,0.01,269.1432784,99,1,4.2,0,99,2.65,99,0.1,5.2,0.863,15,409778,17098342541
C̫te d'Ivoire,Developing,52.8,47,58,0.01,0,76,50,27.4,80,76,5.72,76,2,5.6,,,22647672,48840000000
Congo,Developing,64.2,275,7,0.01,0,9,71,26.8,10,9,5.15,9,3,7.3,0.581,11.1,4737000,17910000000
Cuba,Developing,79,93,1,4.37,13.6691019,97,0,6.7,1,99,11.6,99,0.1,3.3,0.772,14,11306909,80656000000
Czechia,Developed,78.6,88,0,12.68,0,99,222,65.6,0,99,7.41,97,0.1,1.9,,,10525347,2.09E+11
Democratic People's Republic of Korea,Developing,73,142,6,0.01,0,93,3,32.4,8,99,,93,0.1,4.9,,,25060000,40000000000
Democratic Republic of the Congo,Developing,59.3,266,237,0.01,0,8,33711,21.1,312,79,4.33,8,1.1,9.5,,,4736965,35910000000
Egypt,Developing,78,161,53,0.21,0,94,1314,6.2,62,94,5.64,94,0.1,2.8,0.686,13.1,90424668,3.06E+11
Eritrea,Developing,64.4,261,5,0.01,0,94,127,18,8,94,3.34,94,0.4,8.3,0.416,5,5100000,4000000000
Gambia,Developing,68,266,3,0.01,0,96,1,26.7,5,97,7.34,96,1.7,7.3,0.449,8.9,2024037,1229000000
